osm_id,osm_tip,ime,ulica,hisna_stevilka,mesto,telefon,spletna_stran,cuisine,zemljepisna_sirina,zemljepisna_dolzina
29869929,node,To Je To balkan žar,Kersnikova ulica,6,Ljubljana,+386 51 350 750,https://tojeto-zar.si/,lunch;coffee;barbecue;balkan,46.0559627,14.5040465
36937956,node,Marché Tepanje 1,Spodnje Grušovje,10,Slovenske Konjice,+386 3 757 58 16,https://www.marche-movenpick.si/sl/nase-lokacije/tepanje1,,46.3485458,15.486334
36968158,node,Autogrill,,,,,,,46.1659271,14.6893978
36980431,node,Marché Lom II – vzhod,Notranjska cesta,73,Logatec,+386 1 750 84 33,https://www.marche-restaurants.si/sl/nase-lokacije/lom2,,45.8991714,14.2565263
46847714,node,Gostilna Rožnik,,,,,,regional,46.055849,14.4768735
53407830,node,Pivnica Kratochwill,,,,,,,46.0646646,14.5435475
71572545,node,Hotel Evropa,Krekov trg,4,Celje,,https://www.hotel-evropa.si/,,46.2284371,15.2662296
94176144,node,Gostilna Blegoš,,,,,,,46.1580348,14.1778129
98014695,node,Okrepčevalnica Ribiški dom,Cesta na Jezero,7b,Velenje,,https://www.ribiski-dom-velenje.si/,,46.3737657,15.1036832
98808000,node,Restavracija Jezero,Cesta Simona Blatnika,24,Velenje,+386 (0)3 586 64 62,https://gorenjegostinstvo.si/restavracije/restavracija-jezero/,regional,46.3689976,15.0929656
99080953,node,Vila Herberstein,,,,,http://www.vilaherberstein.si/,regional,46.358136,15.1212902
132383901,node,Marché Tepanje 2,Spodnje Grušovje,10a,Slovenske Konjice,+386 3 757 58 23,https://www.marche-movenpick.si/sl/nase-lokacije/tepanje2,,46.3477625,15.4884639
139839191,node,Polna Skleda,,,,,,,46.0523423,14.4526803
145008890,node,Kaval,Tacenska cesta,95,Ljubljana,,http://www.kaval.si,,46.1081624,14.4611179
175760784,node,Letni Vrt,Trg golobarskih žrtev,1,Bovec,+386 05 3896 383,http://slo.letni-vrt.com/,regional,46.3380035,13.5521918
248926975,node,Slovenska hiša - Figovec,Gosposvetska cesta,1,Ljubljana,,,regional,46.0545021,14.5041048
249175349,node,Piazza,,,,,,,46.0644263,14.503198
252493393,node,Plaža,,,,,,,46.3011603,14.5263809
258863919,node,Koča,,,,,,,46.5162326,15.5794235
260566999,node,Ljubljančanka,,,,,https://ljubljancanka.si/,local;slovenian,46.0513972,14.505009
261039443,node,Balthazar,,,,,,,46.0501679,14.5058912
265522866,node,Gostilna Mojmir,Ratece,88,Ratece - Planica,+386 4 5887222,https://www.gostilna-mojmir.si/,regional,46.4975231,13.7122055
265532997,node,Gostilna Pri Boštjanu,Križna Gora,8a,,041720446,,,46.197947,14.2759574
265564038,node,Ošterija Pr'Noni,Cesta v Gorice,1,Ljubljana,+386 1 2425820,https://www.prnoni.si/,,46.0344245,14.4626182
267702517,node,Izletniška kmetija Koren pri Korošcu,,,,,,,46.6156031,15.5640468
271624326,node,Meduza,,,,,,,45.5134827,13.5884979
274947512,node,Arkada,,,,,,,45.9870569,14.5698959
279021125,node,Pri starem kovaču,Spodnji Slemen,96,Selnica ob Dravi,+386 41 477 620,http://www.pristaremkovacu.si/,regional,46.5850903,15.5221189
281262177,node,Žunko,,,,,,,46.5715744,15.5595932
282963986,node,Okrepčevalnica Jurček,,,,,,,46.6195071,15.4299728
283061734,node,Porta Marciana,,,,,https://portamarciana.si/,mediterranean;italian;pizza,45.5264694,13.569345
283293176,node,Center Restaurant,,,,,,,46.276619,13.8875469
283293222,node,Okrepčevalnica Slap Voje,,,,,,,46.329343,13.8782195
286572058,node,Gostilna Franc,,,,,https://www.mangiareinslovenia.eu/gostilna-franc.php,,45.761195,13.9084359
290510227,node,Okrepčevalnica Jelka,,,,,,,46.5347213,15.2651186
290510229,node,Okrepčevalnica pri Vidi,,,,,,,46.5353439,15.2675003
291184218,node,Gostilna Milenium,,,,,,,46.4906935,15.6212573
293636163,node,Pizzeria Pomodoro,Betnavska cesta,13,Maribor,+386 2 320 4466,https://pomodoro.si/,pizza,46.5495811,15.640849
299530422,node,Gostilna Risnik,Kraška cesta,34,Divača,,,,45.6816899,13.9687679
301061790,node,Park,,,,,,seafood;mediterranean;pizza,45.5464295,13.725717
304480589,node,Astoria,Slovenska ulica,2,Maribor,,,italian,46.5604581,15.648152
304889337,node,Okrepčevalnica dom Pečke,Log,205,,,,,46.5227824,15.5408436
305949689,node,Jack & Joe Steak and Burger Club,Ob bregu,20,Maribor,+386 51 370 621,,steak_house,46.5574296,15.6377356
309486143,node,Šport hotel Areh,,,,,,,46.4963441,15.507035
310931725,node,Okrepčevalnica Sgerm,,,,,,,46.5229318,15.3722605
313383856,node,Počitniški dom Partizanka,Legen,168,Slovenj Gradec,,,,46.513983,15.1824401
313396517,node,Sokol,Ciril-Metodov trg,18,Ljubljana,+38614396855,https://www.gostilna-sokol.com/,regional,46.0502788,14.5075158
313396571,node,Abcdarium,Ribji trg,2,,014269514,,,46.0503649,14.5059387
313396610,node,Novi Šang Hai,,,,,,chinese,46.0508467,14.5120218
331985364,node,pri Cunarju,,,,,,,45.6648528,14.289144
345846432,node,Okrepčevalnica pod Mucovo pečino,Smolnik,49,,,,,46.5300054,15.4994554
364769898,node,Turistična kmetija Štern,,,,,,regional,46.4690276,15.5814664
381333912,node,Bolfenk,,,,,,,46.5139489,15.5770728
388389924,node,Marché Lom I – zahod,Notranjska cesta,71,Logatec,+386 1 750 84 16,https://www.marche-restaurants.si/sl/nase-lokacije/Lom1,,45.8973453,14.2550279
416938691,node,Holcer,,,,,,,46.5029162,15.2106977
426728880,node,Akrep.pri MARJOTU Bizjak Izidor,,,,+386 5 3041029,,regional,46.0102599,13.5626263
429323500,node,Gostišče Meglič,Ranče,15,,+386 2 6089304,,,46.467774,15.6073662
442285022,node,Planinc,Razvanjska cesta,32,,+386 2 3317554,,,46.5172516,15.634483
443118679,node,Promenada,Petkovškovo nabrežje,9,Ljubljana,+386 40 516 308,https://restavracija-promenada.si/,regional;pizza,46.051703,14.5075625
443118684,node,Gostilna Dubočica,Zaloška cesta,31,Ljubljana,+386 51 606 080,https://dubocica.si,,46.0548108,14.5301811
443419946,node,Kitajski Dvor,Dunajska cesta,29,Ljubljana,+386 1 436 42 45,www.kitajskidvor.si,chinese,46.0620856,14.5075504
443419951,node,Ljubljanski Dvor,Dvorni trg,5,,+386 1 251 65 55,https://povezujemo.si/gostilna-in-pizzeria-ljubljanski-dvor,pizza,46.0492745,14.5050062
450167003,node,Barbarella BTC Bistro,Šmartinska cesta,152,Ljubljana,,https://barbarella-go.si/,,46.0654113,14.5439223
451759809,node,Gostilna Turšič,,,,,,,45.963857,14.2907819
451759811,node,Cankarjev hram,Ljubljanska cesta,1,Vrhnika,,www.gostilnevrhnika.si,,45.9669757,14.2984948
451759813,node,Boter,Tržaška cesta,6,Vrhnika,+386 1 750 41 00,https://gostilna-boter.si/,regional;pizza,45.9644593,14.2973821
452064496,node,Rečnik,,,,,,,46.490293,15.6100553
452615185,node,Gostilna Labore,,,Kranj,,,,46.230525,14.3541767
452615187,node,Gostilna Benedik,Benedikova ulica,21,Kranj,,,,46.2331831,14.339575
457597830,node,Kores,,,,,,,46.5523333,15.4204927
468486735,node,Gostišče Kapušin,Krasinec,55,Gradac,+386 (7) 369 91 50,https://gostilna-kapusin.si/,,45.5893547,15.2772842
481241950,node,La Cantina - Pod Pohorjem,Pohorska ulica,60,,+386 2 614 5614,http://www.la-cantina.si/,italian,46.5332088,15.5995499
481355290,node,Bistra,Bistra,2,Borovnica,+386 1 750 57 42,http://www.b-bistra.si/,regional,45.948121,14.3332582
487127242,node,Pizzeria Sončnica,,,,,,,45.9811454,14.3116475
492169823,node,Pizzarija Chaplin,,,,,,pizza,46.5028186,15.7017772
496101966,node,Favola,,,,,,italian,46.0781698,14.5120421
510632077,node,Interspar Restavracija,,,,,,,46.2415064,15.2781664
